"Date";"Open";"High";"Low";"Close";"Change, %"
"2009-02-16";"14.5185";"14.632";"14.4419";"14.5035";"+0.23"
"2009-02-17";"14.5023";"14.7498";"14.4723";"14.7097";"+1.42"
"2009-02-18";"14.725";"14.729";"14.56";"14.625";"-0.58"
"2009-02-19";"14.6102";"14.7745";"14.451";"14.7513";"+0.86"
"2009-02-20";"14.758";"14.9868";"14.6525";"14.785";"+0.23"
"2009-02-23";"14.7239";"14.9679";"14.6519";"14.9261";"+0.95"
"2009-02-24";"14.945";"14.976";"14.7525";"14.8363";"-0.60"
"2009-02-25";"14.8289";"14.9615";"14.7755";"14.935";"+0.67"
"2009-02-26";"14.9575";"15.0173";"14.8525";"14.9875";"+0.35"
"2009-02-27";"14.9578";"15.2775";"14.926";"15.2475";"+1.73"
"2009-03-02";"15.186";"15.5056";"15.186";"15.4393";"+1.26"
"2009-03-03";"15.4284";"15.4335";"15.2145";"15.3745";"-0.42"
"2009-03-04";"15.33";"15.382";"15.121";"15.2358";"-0.90"
"2009-03-05";"15.2185";"15.4651";"15.1885";"15.3925";"+1.03"
"2009-03-06";"15.3825";"15.4088";"15.1527";"15.2025";"-1.23"
"2009-03-09";"15.135";"15.594";"15.125";"15.56";"+2.35"
"2009-03-10";"15.5425";"15.5675";"15.2025";"15.2575";"-1.94"
"2009-03-11";"15.2613";"15.33";"15.022";"15.098";"-1.05"
"2009-03-12";"15.0785";"15.196";"14.6025";"14.715";"-2.54"
"2009-03-13";"14.7";"14.733";"14.435";"14.5513";"-1.11"
"2009-03-16";"14.47";"14.5643";"13.9648";"14.2525";"-2.05"
"2009-03-17";"14.2398";"14.2631";"13.965";"13.99";"-1.84"
"2009-03-18";"14.015";"14.19";"13.7662";"13.9588";"-0.22"
"2009-03-19";"13.9287";"14.2925";"13.6765";"14.2525";"+2.10"
"2009-03-20";"14.2688";"14.3072";"13.9757";"14.1813";"-0.50"
"2009-03-23";"14.0525";"14.4129";"13.932";"14.2748";"+0.66"
"2009-03-24";"14.23";"14.3825";"14.205";"14.365";"+0.63"
"2009-03-25";"14.34";"14.4211";"14.165";"14.2358";"-0.90"
"2009-03-26";"14.221";"14.2455";"14.0825";"14.1975";"-0.27"
"2009-03-27";"14.2152";"14.4125";"14.1752";"14.3325";"+0.95"
"2009-03-30";"14.29";"14.5707";"14.2725";"14.285";"-0.33"
"2009-03-31";"14.289";"14.2948";"13.9993";"14.19";"-0.67"
"2009-04-01";"14.163";"14.211";"13.8462";"13.9035";"-2.02"
"2009-04-02";"13.872";"13.975";"13.6818";"13.731";"-1.24"
"2009-04-03";"13.7577";"13.8513";"13.5207";"13.5563";"-1.27"
"2009-04-06";"13.5925";"13.6765";"13.4675";"13.615";"+0.43"
"2009-04-07";"13.61";"13.92";"13.4551";"13.4803";"-0.99"
"2009-04-08";"13.4755";"13.6542";"13.3215";"13.37";"-0.82"
"2009-04-09";"13.35";"13.39";"13.051";"13.1055";"-1.98"
"2009-04-10";"13.2072";"13.2367";"13.0972";"13.1032";"-0.02"
"2009-04-13";"13.0626";"13.1585";"13.051";"13.1088";"+0.04"
"2009-04-14";"13.0955";"13.228";"13.053";"13.227";"+0.90"
"2009-04-15";"13.2212";"13.2766";"12.9989";"13.0162";"-1.59"
"2009-04-16";"13.0125";"13.159";"13.0005";"13.0875";"+0.55"
"2009-04-17";"13.076";"13.2125";"12.9732";"13.1345";"+0.36"
